anio_mundial,fase,grupo,fecha,pais_local,pais_visita,nom_jugador,pais_jugador,minuto,tipo_gol
1930,Primera Ronda,Grupo 1,1930-07-22,Argentina,Chile,Guillermo Stabile,Argentina,13,
1930,Primera Ronda,Grupo 1,1930-07-22,Argentina,Chile,Guillermo Subiabre,Chile,15,
1930,Primera Ronda,Grupo 1,1930-07-22,Argentina,Chile,Mario Evaristo,Argentina,51,
1930,Primera Ronda,Grupo 2,1930-07-13,Yugoslavia,Brasil,Aleksandar Tirnanic,Yugoslavia,21,
1930,Primera Ronda,Grupo 2,1930-07-13,Yugoslavia,Brasil,Ivan Bek,Yugoslavia,30,
1930,Primera Ronda,Grupo 2,1930-07-13,Yugoslavia,Brasil,Predrag Rajkovic,Yugoslavia,62,
1930,Primera Ronda,Grupo 2,1930-07-13,Yugoslavia,Brasil,Reinaldo,Brasil,67,
1930,Primera Ronda,Grupo 2,1930-07-14,Brasil,Bolivia,Moderato,Brasil,4,
1930,Primera Ronda,Grupo 2,1930-07-14,Brasil,Bolivia,Moderato,Brasil,31,
1930,Primera Ronda,Grupo 2,1930-07-14,Brasil,Bolivia,Moderato,Brasil,73,
1930,Primera Ronda,Grupo 2,1930-07-14,Brasil,Bolivia,Moderato,Brasil,85,
1930,Primera Ronda,Grupo 2,1930-07-20,Yugoslavia,Bolivia,Aleksandar Tirnanic,Yugoslavia,60,
1930,Primera Ronda,Grupo 2,1930-07-20,Yugoslavia,Bolivia,Ivan Bek,Yugoslavia,67,
1930,Primera Ronda,Grupo 2,1930-07-20,Yugoslavia,Bolivia,Ivan Bek,Yugoslavia,70,
1930,Primera Ronda,Grupo 2,1930-07-20,Yugoslavia,Bolivia,Branislav Sekulic,Yugoslavia,84,
1930,Primera Ronda,Grupo 3,1930-07-14,Uruguay,Perú,Hector Castro,Uruguay,60,
1930,Primera Ronda,Grupo 3,1930-07-18,Rumania,Perú,Adalbert Deșu,Rumania,1,
1930,Primera Ronda,Grupo 3,1930-07-18,Rumania,Perú,Constantin Stanciu,Rumania,79,
1930,Primera Ronda,Grupo 3,1930-07-18,Rumania,Perú,Luis de Souza Ferreira,Perú,75,
1930,Primera Ronda,Grupo 3,1930-07-21,Uruguay,Rumania,Pablo Dorado,Uruguay,7,
1930,Primera Ronda,Grupo 3,1930-07-21,Uruguay,Rumania,Hector Scarone,Uruguay,18,
1930,Primera Ronda,Grupo 3,1930-07-21,Uruguay,Rumania,Santos Iriarte,Uruguay,30,
1930,Primera Ronda,Grupo 3,1930-07-21,Uruguay,Rumania,Constantin Stanciu,Rumania,35,
1930,Primera Ronda,Grupo 3,1930-07-21,Uruguay,Rumania,Jose Pedro Cea,Uruguay,50,
1930,Primera Ronda,Grupo 3,1930-07-21,Uruguay,Rumania,Hector Castro,Uruguay,58,
1930,Primera Ronda,Grupo 4,1930-07-13,Estados Unidos,Bélgica,Bart McGhee,Estados Unidos,41,
1930,Primera Ronda,Grupo 4,1930-07-13,Estados Unidos,Bélgica,Bertram Patenaude,Estados Unidos,69,
1930,Primera Ronda,Grupo 4,1930-07-13,Estados Unidos,Bélgica,Bertram Patenaude,Estados Unidos,75,
1930,Primera Ronda,Grupo 4,1930-07-14,Paraguay,Bélgica,Luis Vargas Peña,Paraguay,45,
1930,Primera Ronda,Grupo 4,1930-07-14,Paraguay,Bélgica,Aurelio González,Paraguay,62,
1930,Primera Ronda,Grupo 4,1930-07-14,Paraguay,Bélgica,Luis Vargas Peña,Paraguay,65,
1930,Primera Ronda,Grupo 4,1930-07-14,Paraguay,Bélgica,Luis Vargas Peña,Paraguay,70,
1930,Primera Ronda,Grupo 4,1930-07-17,Estados Unidos,Paraguay,Bertram Patenaude,Estados Unidos,10,
1930,Primera Ronda,Grupo 4,1930-07-17,Estados Unidos,Paraguay,Bertram Patenaude,Estados Unidos,15,
1930,Primera Ronda,Grupo 4,1930-07-17,Estados Unidos,Paraguay,Bertram Patenaude,Estados Unidos,50,
1930,Primera Ronda,Grupo 4,1930-07-17,Estados Unidos,Paraguay,Guillermo Subiabre,Paraguay,80,
1930,Semifinales,,1930-07-26,Argentina,Estados Unidos,Luis Monti,Argentina,20,
1930,Semifinales,,1930-07-26,Argentina,Estados Unidos,Alejandro Scopelli,Argentina,23,
1930,Semifinales,,1930-07-26,Argentina,Estados Unidos,Guillermo Stabile,Argentina,31,
1930,Semifinales,,1930-07-26,Argentina,Estados Unidos,Guillermo Stabile,Argentina,35,
1930,Semifinales,,1930-07-26,Argentina,Estados Unidos,Carlos Peucelle,Argentina,80,
1930,Semifinales,,1930-07-26,Argentina,Estados Unidos,Jim Brown,Estados Unidos,89,
1930,Semifinales,,1930-07-27,Uruguay,Yugoslavia,Luis Monti,Yugoslavia,4,
1930,Semifinales,,1930-07-27,Uruguay,Yugoslavia,Pablo Dorado,Uruguay,18,
1930,Semifinales,,1930-07-27,Uruguay,Yugoslavia,Jose Pedro Cea,Uruguay,23,
1930,Semifinales,,1930-07-27,Uruguay,Yugoslavia,Santos Iriarte,Uruguay,31,
1930,Semifinales,,1930-07-27,Uruguay,Yugoslavia,Santos Iriarte,Uruguay,35,
1930,Semifinales,,1930-07-27,Uruguay,Yugoslavia,Hector Castro,Uruguay,72,
1930,Final,,1930-07-30,Uruguay,Argentina,Pablo Dorado,Uruguay,12,
1930,Final,,1930-07-30,Uruguay,Argentina,Carlos Peucelle,Argentina,20,
1930,Final,,1930-07-30,Uruguay,Argentina,Guillermo Stabile,Argentina,37,
1930,Final,,1930-07-30,Uruguay,Argentina,Jose Pedro Cea,Uruguay,57,
1930,Final,,1930-07-30,Uruguay,Argentina,Santos Iriarte,Uruguay,68,
1930,Final,,1930-07-30,Uruguay,Argentina,Hector Castro,Uruguay,89,
1934,Octavos de final,,1934-05-27,Italia,Estados Unidos,Angelo Schiavio,Italia,18,
1934,Octavos de final,,1934-05-27,Italia,Estados Unidos,Giuseppe Meazza,Italia,25,
1934,Octavos de final,,1934-05-27,Italia,Estados Unidos,Raimundo Orsi,Italia,32,
1934,Octavos de final,,1934-05-27,Italia,Estados Unidos,Attilio Demaria,Italia,35,
1934,Octavos de final,,1934-05-27,Italia,Estados Unidos,Giuseppe Meazza,Italia,50,
1934,Octavos de final,,1934-05-27,Italia,Estados Unidos,Angelo Schiavio,Italia,69,
1934,Octavos de final,,1934-05-27,Italia,Estados Unidos,Aldo Donelli,Estados Unidos,57,
1934,Octavos de final,,1934-05-27,Italia,Estados Unidos,Enrique Guaita,Italia,80,
1934,Octavos de final,,1934-05-27,Checoslovaquia,Rumania,Oldrich Nejedly,Checoslovaquia,50,
1934,Octavos de final,,1934-05-27,Checoslovaquia,Rumania,Antonin Puc,Checoslovaquia,67,
1934,Octavos de final,,1934-05-27,Checoslovaquia,Rumania,Stefan Dobay,Rumania,11,
1934,Octavos de final,,1934-05-27,España,Brasil,Leandro Cid,España,18,
1934,Octavos de final,,1934-05-27,España,Brasil,Isidro Langara,España,25,
1934,Octavos de final,,1934-05-27,España,Brasil,Leandro Cid,España,60,
1934,Octavos de final,,1934-05-27,España,Brasil,Leônidas,Brasil,55,
1934,Octavos de final,,1934-05-27,Suiza,Países Bajos,Leopold Kielholz,Suiza,7,
1934,Octavos de final,,1934-05-27,Suiza,Países Bajos,Andre Abegglen,Suiza,25,
1934,Octavos de final,,1934-05-27,Suiza,Países Bajos,Leopold Kielholz,Suiza,50,
1934,Octavos de final,,1934-05-27,Suiza,Países Bajos,Kick Smit,Países Bajos,15,
1934,Octavos de final,,1934-05-27,Suiza,Países Bajos,Kick Smit,Países Bajos,70,
1934,Octavos de final,,1934-05-27,Suecia,Argentina,Sven Jonasson,Suecia,9,
1934,Octavos de final,,1934-05-27,Suecia,Argentina,Knut Kroon,Suecia,20,
1934,Octavos de final,,1934-05-27,Suecia,Argentina,Sven Jonasson,Suecia,55,
1934,Octavos de final,,1934-05-27,Suecia,Argentina,Ernesto Belis,Argentina,30,
1934,Octavos de final,,1934-05-27,Suecia,Argentina,Alberto Galateo,Argentina,75,
1934,Octavos de final,,1934-05-27,Alemania,Bélgica,Edmund Conen,Alemania,25,
1934,Octavos de final,,1934-05-27,Alemania,Bélgica,Ernst Lehner,Alemania,30,
1934,Octavos de final,,1934-05-27,Alemania,Bélgica,Edmund Conen,Alemania,40,
1934,Octavos de final,,1934-05-27,Alemania,Bélgica,Edmund Conen,Alemania,70,
1934,Octavos de final,,1934-05-27,Alemania,Bélgica,Ernst Lehner,Alemania,85,
1934,Octavos de final,,1934-05-27,Alemania,Bélgica,Bernard Voorhoof,Bélgica,10,
1934,Octavos de final,,1934-05-27,Alemania,Bélgica,Bernard Voorhoof,Bélgica,60,
1934,Octavos de final,,1934-05-27,Austria,Francia,Johann Horvath,Austria,20,
1934,Octavos de final,,1934-05-27,Austria,Francia,Josef Bican,Austria,65,
1934,Octavos de final,,1934-05-27,Austria,Francia,Jean Nicolas,Francia,10,
1934,Octavos de final,,1934-05-27,Austria,Francia,Georges Verriest,Francia,75,
1934,Octavos de final,,1934-05-27,Hungria,Egipto,Geza Toldi,Hungria,11,
1934,Octavos de final,,1934-05-27,Hungria,Egipto,Geza Toldi,Hungria,60,
1934,Octavos de final,,1934-05-27,Hungria,Egipto,Jeno Vincze,Hungria,75,
1934,Octavos de final,,1934-05-27,Hungria,Egipto,Abdelrahman Fawzi,Egipto,35,
1934,Octavos de final,,1934-05-27,Hungria,Egipto,Abdelrahman Fawzi,Egipto,39,
1934,Cuartos de final,,1934-05-31,Alemania,Suecia,Karl Hohmann,Alemania,11,
1934,Cuartos de final,,1934-05-31,Alemania,Suecia,Rudolf Noack,Alemania,32,
1934,Cuartos de final,,1934-05-31,Alemania,Suecia,Gustav Wetterstrom,Suecia,50,
1934,Cuartos de final,,1934-05-31,Checoslovaquia,Suiza,Oldrich Nejedly,Checoslovaquia,49,
1934,Cuartos de final,,1934-05-31,Checoslovaquia,Suiza,Oldrich Nejedly,Checoslovaquia,70,
1934,Cuartos de final,,1934-05-31,Checoslovaquia,Suiza,Antonin Puc,Checoslovaquia,75,
1934,Cuartos de final,,1934-05-31,Checoslovaquia,Suiza,Leopold Kielholz,Suiza,18,
1934,Cuartos de final,,1934-05-31,Checoslovaquia,Suiza,Andre Abegglen,Suiza,65,
1934,Cuartos de final,,1934-05-31,Austria,Hungria,Johann Horvath,Austria,19,
1934,Cuartos de final,,1934-05-31,Austria,Hungria,Karl Zischek,Austria,65,
1934,Cuartos de final,,1934-05-31,Austria,Hungria,Pal Titkos,Hungria,30,
1934,Cuartos de final,,1934-06-01,Italia,España,Giovanni Ferrari,Italia,44,
1934,Cuartos de final,,1934-06-01,Italia,España,Luis Regueiro,España,31,
1934,Cuartos de final,,1934-06-02,Italia,España,Giuseppe Meazza,Italia,11,
1934,Semifinales,,1934-06-03,Checoslovaquia,Alemania,Oldrich Nejedly,Checoslovaquia,20,
1934,Semifinales,,1934-06-03,Checoslovaquia,Alemania,Oldrich Nejedly,Checoslovaquia,30,
1934,Semifinales,,1934-06-03,Checoslovaquia,Alemania,Oldrich Nejedly,Checoslovaquia,60,
1934,Semifinales,,1934-06-03,Checoslovaquia,Alemania,Rudolf Noack,Alemania,70,
1934,Semifinales,,1934-06-03,Italia,Austria,Enrique Guaita,Italia,19,
1934,Tercer puesto,,1934-06-07,Alemania,Austria,Ernst Lehner,Alemania,25,
1934,Tercer puesto,,1934-06-07,Alemania,Austria,Edmund Conen,Alemania,30,
1934,Tercer puesto,,1934-06-07,Alemania,Austria,Ernst Lehner,Alemania,70,
1934,Tercer puesto,,1934-06-07,Alemania,Austria,Karl Zischek,Austria,40,
1934,Tercer puesto,,1934-06-07,Alemania,Austria,Johann Horvath,Austria,50,
1934,Final,,1934-06-10,Italia,Checoslovaquia,Antonin Puc,Checoslovaquia,71,
1934,Final,,1934-06-10,Italia,Checoslovaquia,Raimundo Orsi,Italia,81,
1934,Final,,1934-06-10,Italia,Checoslovaquia,Angelo Schiavio,Italia,95,
1938,Octavos de final,,1938-06-04,Italia,Noruega,Gino Colaussi,Italia,2,
1938,Octavos de final,,1938-06-04,Italia,Noruega,Sergio Bertoni,Italia,94,
1938,Octavos de final,,1938-06-04,Italia,Noruega,Arne Brustad,Noruega,83,
1938,Octavos de final,,1938-06-05,Francia,Bélgica,Emile Veinante,Francia,27,
1938,Octavos de final,,1938-06-05,Francia,Bélgica,Jean Nicolas,Francia,33,
1938,Octavos de final,,1938-06-05,Francia,Bélgica,Jean Nicolas,Francia,69,
1938,Octavos de final,,1938-06-05,Francia,Bélgica,Bernard Voorhoof,Bélgica,70,
1938,Octavos de final,,1938-06-05,Brasil,Polonia,Leônidas,Brasil,18,
1938,Octavos de final,,1938-06-05,Brasil,Polonia,Leônidas,Brasil,93,
1938,Octavos de final,,1938-06-05,Brasil,Polonia,Leônidas,Brasil,104,
1938,Octavos de final,,1938-06-05,Brasil,Polonia,Romeu,Brasil,44,
1938,Octavos de final,,1938-06-05,Brasil,Polonia,Perácio,Brasil,71,
1938,Octavos de final,,1938-06-05,Brasil,Polonia,Ernest Wilimowski,Polonia,53,
1938,Octavos de final,,1938-06-05,Brasil,Polonia,Ernest Wilimowski,Polonia,59,
1938,Octavos de final,,1938-06-05,Brasil,Polonia,Ernest Wilimowski,Polonia,89,
1938,Octavos de final,,1938-06-05,Brasil,Polonia,Ernest Wilimowski,Polonia,118,
1938,Octavos de final,,1938-06-05,Brasil,Polonia,Friedrich Scherfke,Polonia,23,penal
1938,Octavos de final,,1938-06-05,Checoslovaquia,Países Bajos,Antonin Puc,Checoslovaquia,19,
1938,Octavos de final,,1938-06-05,Checoslovaquia,Países Bajos,Oldrich Nejedly,Checoslovaquia,49,
1938,Octavos de final,,1938-06-05,Checoslovaquia,Países Bajos,Oldrich Nejedly,Checoslovaquia,53,
1938,Octavos de final,,1938-06-05,Hungria,Indias Orientales Holand,Pal Titkos,Hungria,13,
1938,Octavos de final,,1938-06-05,Hungria,Indias Orientales Holand,Gyula Zsengeller,Hungria,15,
1938,Octavos de final,,1938-06-05,Hungria,Indias Orientales Holand,Gyorgy Sarosi,Hungria,30,
1938,Octavos de final,,1938-06-05,Hungria,Indias Orientales Holand,Gyorgy Sarosi,Hungria,60,
1938,Octavos de final,,1938-06-05,Hungria,Indias Orientales Holand,Gyula Zsengeller,Hungria,75,
1938,Octavos de final,,1938-06-05,Hungria,Indias Orientales Holand,Vilmos Kohut,Hungria,88,
1938,Octavos de final,,1938-06-05,Suiza,Alemania,Andre Abegglen,Suiza,42,
1938,Octavos de final,,1938-06-05,Suiza,Alemania,Andre Abegglen,Suiza,64,
1938,Octavos de final,,1938-06-05,Suiza,Alemania,Andre Abegglen,Suiza,75,
1938,Octavos de final,,1938-06-05,Suiza,Alemania,Georges Aeby,Suiza,90,
1938,Octavos de final,,1938-06-05,Suiza,Alemania,Ernst Lehner,Alemania,29,
1938,Octavos de final,,1938-06-05,Suiza,Alemania,Wilhelm Hahnemann,Alemania,43,
1938,Octavos de final,,1938-06-05,Suiza,Alemania,Wilhelm Hahnemann,Alemania,76,
1938,Octavos de final,,1938-06-05,Suiza,Alemania,Wilhelm Hahnemann,Alemania,80,
1938,Octavos de final,,1938-06-05,Cuba,Rumania,Tomas Fernandez,Cuba,51,
1938,Octavos de final,,1938-06-05,Cuba,Rumania,Hector Socorro,Cuba,57,
1938,Octavos de final,,1938-06-05,Cuba,Rumania,Silvio Baruffaldi,Cuba,63,
1938,Octavos de final,,1938-06-05,Cuba,Rumania,Stefan Dobay,Rumania,35,
1938,Octavos de final,,1938-06-05,Cuba,Rumania,Stefan Dobay,Rumania,44,
1938,Octavos de final,,1938-06-05,Cuba,Rumania,Iuliu Baratky,Rumania,48,
1938,Octavos de final,,1938-06-09,Cuba,Rumania,Hector Socorro,Cuba,51,
1938,Octavos de final,,1938-06-09,Cuba,Rumania,Tomas Fernandez,Cuba,57,
1938,Cuartos de final,,1938-06-12,Italia,Francia,Colaussi,Italia,9,
1938,Cuartos de final,,1938-06-12,Italia,Francia,Piola,Italia,51,
1938,Cuartos de final,,1938-06-12,Italia,Francia,Oscar Heisserer,Francia,10,
1938,Cuartos de final,,1938-06-12,Hungria,Suiza,Sarosi,Hungria,40,
1938,Cuartos de final,,1938-06-12,Hungria,Suiza,Zsengeller,Hungria,60,
1938,Cuartos de final,,1938-06-12,Suecia,Cuba,Harry Andersson,Suecia,32,
1938,Cuartos de final,,1938-06-12,Suecia,Cuba,Harry Andersson,Suecia,37,
1938,Cuartos de final,,1938-06-12,Suecia,Cuba,Harry Andersson,Suecia,44,
1938,Cuartos de final,,1938-06-12,Suecia,Cuba,Harry Andersson,Suecia,54,
1938,Cuartos de final,,1938-06-12,Suecia,Cuba,Gustav Wetterstrom,Suecia,10,
1938,Cuartos de final,,1938-06-12,Suecia,Cuba,Gustav Wetterstrom,Suecia,25,
1938,Cuartos de final,,1938-06-12,Suecia,Cuba,Gustav Wetterstrom,Suecia,80,
1938,Cuartos de final,,1938-06-12,Suecia,Cuba,Stig Jansson,Suecia,75,
1938,Cuartos de final,,1938-06-12,Brasil,Checoslovaquia,Leônidas,Brasil,30,
1938,Cuartos de final,,1938-06-12,Brasil,Checoslovaquia,Oldrich Nejedly,Checoslovaquia,65,penal
1938,Cuartos de final,,1938-06-14,Brasil,Checoslovaquia,Leônidas,Brasil,30,
1938,Cuartos de final,,1938-06-14,Brasil,Checoslovaquia,Roberto,Brasil,60,
1938,Semifinales,,1938-06-16,Italia,Brasil,Colaussi,Italia,70,
1938,Semifinales,,1938-06-16,Italia,Brasil,Meazza,Italia,60,penal
1938,Semifinales,,1938-06-16,Italia,Brasil,Romeu,Brasil,87,
1938,Semifinales,,1938-06-16,Hungria,Suecia,Sarosi,Hungria,19,
1938,Semifinales,,1938-06-16,Hungria,Suecia,Zsengeller,Hungria,35,
1938,Semifinales,,1938-06-16,Hungria,Suecia,Sas,Hungria,50,
1938,Semifinales,,1938-06-16,Hungria,Suecia,Zsengeller,Hungria,75,
1938,Semifinales,,1938-06-16,Hungria,Suecia,Sarosi,Hungria,80,
1938,Semifinales,,1938-06-16,Hungria,Suecia,Nyberg,Suecia,1,
1938,Tercer puesto,,1938-06-19,Brasil,Suecia,Leônidas,Brasil,17,
1938,Tercer puesto,,1938-06-19,Brasil,Suecia,Leônidas,Brasil,27,
1938,Tercer puesto,,1938-06-19,Brasil,Suecia,Perácio,Brasil,44,
1938,Tercer puesto,,1938-06-19,Brasil,Suecia,Romeu,Brasil,60,
1938,Tercer puesto,,1938-06-19,Brasil,Suecia,Andersson,Suecia,32,
1938,Tercer puesto,,1938-06-19,Brasil,Suecia,Nyberg,Suecia,38,
1938,Final,,1938-06-19,Italia,Hungria,Gino Colaussi,Italia,6,
1938,Final,,1938-06-19,Italia,Hungria,Silvio Piola,Italia,16,
1938,Final,,1938-06-19,Italia,Hungria,Gino Colaussi,Italia,35,
1938,Final,,1938-06-19,Italia,Hungria,Silvio Piola,Italia,82,
1938,Final,,1938-06-19,Italia,Hungria,Titkos,Hungria,8,
1938,Final,,1938-06-19,Italia,Hungria,Sarosi,Hungria,70,
1950,Primera Ronda,Grupo 1,1950-06-24,Brasil,México,Ademir,Brasil,30,
1950,Primera Ronda,Grupo 1,1950-06-24,Brasil,México,Jair,Brasil,65,
1950,Primera Ronda,Grupo 1,1950-06-24,Brasil,México,Baltazar,Brasil,71,
1950,Primera Ronda,Grupo 1,1950-06-24,Brasil,México,Ademir,Brasil,79,
1950,Primera Ronda,Grupo 1,1950-06-25,Yugoslavia,Suiza,Rajko Mitic,Yugoslavia,59,
1950,Primera Ronda,Grupo 1,1950-06-25,Yugoslavia,Suiza,Kosta Tomasevic,Yugoslavia,70,
1950,Primera Ronda,Grupo 1,1950-06-25,Yugoslavia,Suiza,Tihomir Ognjanov,Yugoslavia,84,
1950,Primera Ronda,Grupo 1,1950-06-28,Brasil,Suiza,Alfredo,Brasil,3,
1950,Primera Ronda,Grupo 1,1950-06-28,Brasil,Suiza,Jacky Fatton,Suiza,17,
1950,Primera Ronda,Grupo 1,1950-06-28,Brasil,Suiza,Baltazar,Brasil,32,
1950,Primera Ronda,Grupo 1,1950-06-28,Brasil,Suiza,Jacky Fatton,Suiza,88,
1950,Primera Ronda,Grupo 1,1950-06-28,Yugoslavia,México,Stjepan Bobek,Yugoslavia,20,
1950,Primera Ronda,Grupo 1,1950-06-28,Yugoslavia,México,Zeljko Cajkovski,Yugoslavia,23,
1950,Primera Ronda,Grupo 1,1950-06-28,Yugoslavia,México,Zeljko Cajkovski,Yugoslavia,51,
1950,Primera Ronda,Grupo 1,1950-06-28,Yugoslavia,México,Kosta Tomasevic,Yugoslavia,81,
1950,Primera Ronda,Grupo 1,1950-06-28,Yugoslavia,México,Hector Ortiz,México,89,penal
1950,Primera Ronda,Grupo 1,1950-07-01,Brasil,Yugoslavia,Ademir,Brasil,4,
1950,Primera Ronda,Grupo 1,1950-07-01,Brasil,Yugoslavia,Zizinho,Brasil,69,
1950,Primera Ronda,Grupo 1,1950-07-02,Suiza,México,Rene Bader,Suiza,10,
1950,Primera Ronda,Grupo 1,1950-07-02,Suiza,México,Kiki Antenen,Suiza,44,
1950,Primera Ronda,Grupo 1,1950-07-02,Suiza,México,Horacio Casarin,México,89,
1950,Primera Ronda,Grupo 2,1950-06-25,Inglaterra,Chile,Stan Mortensen,Inglaterra,41,
1950,Primera Ronda,Grupo 2,1950-06-25,Inglaterra,Chile,Wilf Mannion,Inglaterra,74,
1950,Primera Ronda,Grupo 2,1950-06-25,España,Estados Unidos,Igoa,España,9,
1950,Primera Ronda,Grupo 2,1950-06-25,España,Estados Unidos,Zarra,España,11,
1950,Primera Ronda,Grupo 2,1950-06-25,España,Estados Unidos,Basque,España,38,
1950,Primera Ronda,Grupo 2,1950-06-29,España,Chile,Basque,España,8,
1950,Primera Ronda,Grupo 2,1950-06-29,España,Chile,Zarra,España,60,
1950,Primera Ronda,Grupo 2,1950-06-29,Estados Unidos,Inglaterra,Joe Gaetjens,Estados Unidos,38,
1950,Primera Ronda,Grupo 2,1950-07-02,España,Inglaterra,Zarra,España,48,
1950,Primera Ronda,Grupo 2,1950-07-02,Chile,Estados Unidos,George Robledo,Chile,30,
1950,Primera Ronda,Grupo 2,1950-07-02,Chile,Estados Unidos,George Robledo,Chile,50,
1950,Primera Ronda,Grupo 2,1950-07-02,Chile,Estados Unidos,Frank Wallace,Estados Unidos,47,
1950,Primera Ronda,Grupo 3,1950-06-25,Suecia,Italia,Gunnar Nordahl,Suecia,14,
1950,Primera Ronda,Grupo 3,1950-06-25,Suecia,Italia,Gunnar Gren,Suecia,34,
1950,Primera Ronda,Grupo 3,1950-06-25,Suecia,Italia,Annibale Frossi,Italia,25,
1950,Primera Ronda,Grupo 3,1950-06-29,Suecia,Paraguay,Stig Sundqvist,Suecia,2,
1950,Primera Ronda,Grupo 3,1950-06-29,Suecia,Paraguay,Stig Sundqvist,Suecia,34,
1950,Primera Ronda,Grupo 3,1950-06-29,Suecia,Paraguay,Hasse Jeppson,Suecia,44,
1950,Primera Ronda,Grupo 3,1950-06-29,Suecia,Paraguay,Stig Sundqvist,Suecia,75,
1950,Primera Ronda,Grupo 3,1950-06-29,Suecia,Paraguay,Heriberto Herrera,Paraguay,62,
1950,Primera Ronda,Grupo 3,1950-06-29,Suecia,Paraguay,Atilio Lopez,Paraguay,85,
1950,Primera Ronda,Grupo 3,1950-07-02,Italia,Paraguay,Egidio Pandolfini,Italia,12,
1950,Primera Ronda,Grupo 3,1950-07-02,Italia,Paraguay,Egidio Pandolfini,Italia,75,
1950,Primera Ronda,Grupo 3,1950-07-02,Italia,Paraguay,Ricardo Brugada,Paraguay,8,
1950,Primera Ronda,Grupo 3,1950-07-02,Italia,Paraguay,Heriberto Herrera,Paraguay,80,
1950,Primera Ronda,Grupo 4,1950-06-24,Uruguay,Bolivia,Oscar Miguez,Uruguay,15,
1950,Primera Ronda,Grupo 4,1950-06-24,Uruguay,Bolivia,Juan Alberto Schiaffino,Uruguay,18,
1950,Primera Ronda,Grupo 4,1950-06-24,Uruguay,Bolivia,Oscar Miguez,Uruguay,20,
1950,Primera Ronda,Grupo 4,1950-06-24,Uruguay,Bolivia,Juan Alberto Schiaffino,Uruguay,30,
1950,Primera Ronda,Grupo 4,1950-06-24,Uruguay,Bolivia,Alcides Ghiggia,Uruguay,35,
1950,Primera Ronda,Grupo 4,1950-06-24,Uruguay,Bolivia,Ernesto Vidal,Uruguay,40,
1950,Primera Ronda,Grupo 4,1950-06-24,Uruguay,Bolivia,Oscar Miguez,Uruguay,55,
1950,Primera Ronda,Grupo 4,1950-06-24,Uruguay,Bolivia,Ernesto Vidal,Uruguay,65,
1950,Final,,1950-07-09,Brasil,Suecia,Ademir,Brasil,7,
1950,Final,,1950-07-09,Brasil,Suecia,Chico,Brasil,13,
1950,Final,,1950-07-09,Brasil,Suecia,Maneca,Brasil,17,
1950,Final,,1950-07-09,Brasil,Suecia,Maneca,Brasil,63,
1950,Final,,1950-07-09,Brasil,Suecia,Ademir,Brasil,78,
1950,Final,,1950-07-09,Brasil,Suecia,Sune Andersson,Suecia,30,
1950,Final,,1950-07-09,Brasil,Suecia,Kalle Svensson,Suecia,85,
1950,Final,,1950-07-09,Uruguay,España,Juan Alberto Schiaffino,Uruguay,29,
1950,Final,,1950-07-09,Uruguay,España,Obdulio Varela,Uruguay,45,
1950,Final,,1950-07-09,Uruguay,España,Julio Perez,Uruguay,70,
1950,Final,,1950-07-09,Uruguay,España,Telmo Zarra,España,15,
1950,Final,,1950-07-09,Uruguay,España,Basque,España,55,
1950,Final,,1950-07-13,Brasil,España,Ademir,Brasil,6,
1950,Final,,1950-07-13,Brasil,España,Chico,Brasil,13,
